Datetime,Datetime,Open,High,Low,Close,Adj Close,Volume,Two_Crows,Three_Black_Crows,Three_Inside_Updown,Three_Line_Strike,Three_Outside_UpDown,Three_Stars_In_The_South,Three_Advancing_White_Soldiers,Abandoned_Baby,Advance_Block,Belthold,Breakaway,Closing_Marubozu,Concealing_Baby_Swallow,Counterattack,Dark_Cloud_Cover,Doji,Doji_Star,Dragonfly_Doji,Engulfing_Pattern,Evening_Doji_Star,Evening_Star,UpDown_gap_sidebyside_white_lines,Gravestone_Doji,Hammer,Hanging_Man,Harami_Pattern,Harami_Cross_Pattern,HighWave_Candle,Hikkake_Pattern,Modified_Hikkake_Pattern,Homing_Pigeon,Identical_Three_Crows,In_Neck_Pattern,Inverted_Hammer,Kicking,Kicking_bullbear_determined_by_the_longer_marubozu,Ladder_Bottom,Long_Legged_Doji,Long_Line_Candle,Marubozu,Matching_Low,Mat_Hold,Morning_Doji_Star,Morning_Star,OnNeck_Pattern,Piercing_Pattern,Rickshaw_Man,RisingFalling_Three_Methods,Separating_Lines,Shooting_Star,Short_Line_Candle,Spinning_Top,Stalled_Pattern,Stick_Sandwich,Takuri_Dragonfly_Doji,Tasuki_Gap,Thrusting_Pattern,Tristar_Pattern,Unique_River,Upside_Gap_Two_Crows,UpsideDownside_Gap_Three_Methods,Candle_Sum,signal,Shares_Purchaced,Tranaction,ActiveCash,Shares_Owned,Portfolio,transaction,TranactionC
2022-01-07 15:56:00-05:00,2022-01-07 15:56:00-05:00,314.42,314.6,314.38,314.52,314.52,167565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,1.0,1.0,314.52,38689964.14,32.0,10064.64,314.52,314.52
2022-01-07 15:57:00-05:00,2022-01-07 15:57:00-05:00,314.52,314.59,314.41,314.52,314.52,150540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,500,1.0,1.0,314.52,38789649.62,33.0,10379.16,314.52,314.52
2022-01-07 15:58:00-05:00,2022-01-07 15:58:00-05:00,314.51,314.57,314.28,314.36,314.36,237166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,38889649.62,33.0,10373.880000000001,0.0,0.0
2022-01-07 15:59:00-05:00,2022-01-07 15:59:00-05:00,314.34,314.69,313.88,314.11,314.11,543611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,38989649.62,33.0,10365.630000000001,0.0,0.0
2022-01-10 09:30:00-05:00,2022-01-10 09:30:00-05:00,309.48,309.87,308.55,309.45,309.45,1675793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,1.0,1.0,309.45,39089340.169999994,34.0,10521.3,309.45,309.45
2022-01-10 09:31:00-05:00,2022-01-10 09:31:00-05:00,309.4,310.01,308.82,309.42,309.42,267799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,500,1.0,1.0,309.42,39189030.74999999,35.0,10829.7,309.42,309.42
2022-01-10 09:32:00-05:00,2022-01-10 09:32:00-05:00,309.35,309.35,308.51,308.69,308.69,209162,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-200,-1.0,-1.0,-308.69,39289339.43999999,34.0,10495.46,-308.69,-308.69
2022-01-10 09:33:00-05:00,2022-01-10 09:33:00-05:00,308.73,309.17,308.24,308.38,308.38,233834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,39389339.43999999,34.0,10484.92,0.0,0.0
2022-01-10 09:34:00-05:00,2022-01-10 09:34:00-05:00,308.0,308.48,307.84,308.48,308.48,302050,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,100,1.0,1.0,308.48,39489030.95999999,35.0,10796.800000000001,308.48,308.48
2022-01-10 09:35:00-05:00,2022-01-10 09:35:00-05:00,308.18,308.3,308.1,308.24,308.24,158929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,200,1.0,1.0,308.24,39588722.71999999,36.0,11096.64,308.24,308.24
