Datetime,Open,High,Low,Close,Adj Close,Volume
2022-01-12 13:31:00-05:00,318.96,319.26,318.89,319.24,319.24,30312
2022-01-12 13:32:00-05:00,319.27,319.3,319.11,319.15,319.15,31861
2022-01-12 13:33:00-05:00,319.15,319.34,319.14,319.34,319.34,23820
2022-01-12 13:34:00-05:00,319.3,319.32,319.18,319.29,319.29,20053
2022-01-12 13:35:00-05:00,319.3,319.32,318.96,319.02,319.02,27588
2022-01-12 13:36:00-05:00,318.98,319.05,318.79,318.88,318.88,328879
2022-01-12 13:37:00-05:00,318.89,318.94,318.71,318.89,318.89,21606
2022-01-12 13:38:00-05:00,318.9,319.03,318.87,318.94,318.94,20056
2022-01-12 13:39:00-05:00,318.95,319.06,318.93,319.01,319.01,13062
2022-01-12 13:40:00-05:00,319.03,319.11,318.96,319.0,319.0,29075
2022-01-12 13:41:00-05:00,319.04,319.2,319.01,319.16,319.16,25556
2022-01-12 13:42:00-05:00,319.13,319.22,319.02,319.13,319.13,19951
2022-01-12 13:43:00-05:00,319.13,319.13,318.93,318.99,318.99,23584
2022-01-12 13:44:00-05:00,318.99,319.05,318.92,318.95,318.95,25640
2022-01-12 13:45:00-05:00,318.92,319.07,318.76,319.03,319.03,36559
2022-01-12 13:46:00-05:00,319.03,319.34,319.01,319.3,319.3,28666
2022-01-12 13:47:00-05:00,319.31,319.39,319.25,319.32,319.32,32256
2022-01-12 13:48:00-05:00,319.27,319.28,319.09,319.11,319.11,17406
2022-01-12 13:49:00-05:00,319.11,319.23,319.11,319.11,319.11,31416
2022-01-12 13:50:00-05:00,319.12,319.21,318.75,318.81,318.81,46651
2022-01-12 13:51:00-05:00,318.78,319.08,318.71,318.89,318.89,36386
2022-01-12 13:52:00-05:00,318.89,318.92,318.43,318.54,318.54,109433
2022-01-12 13:53:00-05:00,318.58,318.81,318.55,318.81,318.81,43029
2022-01-12 13:54:00-05:00,318.76,318.87,318.68,318.73,318.73,16297
2022-01-12 13:55:00-05:00,318.75,318.83,318.7,318.76,318.76,74561
2022-01-12 13:56:00-05:00,318.71,319.03,318.71,318.8,318.8,40880
2022-01-12 13:57:00-05:00,318.83,318.9,318.69,318.77,318.77,35218
2022-01-12 13:58:00-05:00,318.77,318.78,318.5,318.63,318.63,30199
2022-01-12 13:59:00-05:00,318.64,318.73,318.53,318.58,318.58,25688
2022-01-12 14:00:00-05:00,318.55,318.6,318.36,318.47,318.47,34652
2022-01-12 14:01:00-05:00,318.48,318.6,318.42,318.51,318.51,27080
2022-01-12 14:02:00-05:00,318.54,318.54,318.2,318.21,318.21,40840
2022-01-12 14:03:00-05:00,318.23,318.45,318.05,318.07,318.07,44087
2022-01-12 14:04:00-05:00,318.08,318.37,318.0,318.26,318.26,84625
2022-01-12 14:05:00-05:00,318.22,318.46,318.14,318.22,318.22,36100
2022-01-12 14:06:00-05:00,318.26,318.36,318.12,318.31,318.31,22367
2022-01-12 14:07:00-05:00,318.33,318.44,318.22,318.42,318.42,24656
2022-01-12 14:08:00-05:00,318.4,318.52,318.31,318.37,318.37,33311
2022-01-12 14:09:00-05:00,318.39,318.54,318.26,318.27,318.27,36374
2022-01-12 14:10:00-05:00,318.23,318.41,318.13,318.36,318.36,29607
2022-01-12 14:11:00-05:00,318.36,318.56,318.34,318.39,318.39,38404
2022-01-12 14:12:00-05:00,318.45,318.79,318.44,318.7,318.7,42330
2022-01-12 14:13:00-05:00,318.72,318.73,318.47,318.49,318.49,45677
2022-01-12 14:14:00-05:00,318.5,318.74,318.48,318.71,318.71,25749
2022-01-12 14:15:00-05:00,318.73,318.82,318.62,318.65,318.65,30535
2022-01-12 14:16:00-05:00,318.65,318.76,318.48,318.54,318.54,25255
2022-01-12 14:17:00-05:00,318.53,318.69,318.53,318.6,318.6,30615
2022-01-12 14:18:00-05:00,318.6,318.75,318.59,318.7,318.7,37419
2022-01-12 14:19:00-05:00,318.67,318.74,318.63,318.63,318.63,28939
2022-01-12 14:20:00-05:00,318.63,318.81,318.6,318.81,318.81,28563
2022-01-12 14:21:00-05:00,318.79,318.89,318.73,318.79,318.79,43889
2022-01-12 14:22:00-05:00,318.86,319.0,318.77,318.93,318.93,32684
2022-01-12 14:23:00-05:00,318.93,319.0,318.9,318.95,318.95,22835
2022-01-12 14:24:00-05:00,318.96,318.99,318.88,318.9,318.9,20219
2022-01-12 14:25:00-05:00,318.89,318.94,318.86,318.94,318.94,21914
2022-01-12 14:26:00-05:00,318.92,318.98,318.89,318.91,318.91,23523
2022-01-12 14:27:00-05:00,318.94,319.03,318.89,318.96,318.96,29909
2022-01-12 14:28:00-05:00,318.98,319.06,318.92,318.98,318.98,34588
2022-01-12 14:29:00-05:00,318.98,319.15,318.98,319.08,319.08,29919
2022-01-12 14:30:00-05:00,319.06,319.14,318.81,318.92,318.92,40295
2022-01-12 14:31:00-05:00,318.54,318.76,318.54,318.73,318.73,70202
2022-01-12 14:32:00-05:00,318.74,318.88,318.47,318.54,318.54,82870
2022-01-12 14:33:00-05:00,318.56,318.73,318.46,318.68,318.68,86564
2022-01-12 14:34:00-05:00,318.69,318.69,318.54,318.55,318.55,43640
2022-01-12 14:35:00-05:00,318.57,318.74,318.4,318.61,318.61,57401
2022-01-12 14:36:00-05:00,318.56,318.64,318.54,318.56,318.56,18898
2022-01-12 14:37:00-05:00,318.56,318.76,318.53,318.64,318.64,35592
2022-01-12 14:38:00-05:00,318.68,318.86,318.68,318.86,318.86,37144
2022-01-12 14:39:00-05:00,318.86,318.92,318.81,318.86,318.86,19377
2022-01-12 14:40:00-05:00,318.83,318.83,318.58,318.63,318.63,37055
2022-01-12 14:41:00-05:00,318.63,318.68,318.53,318.58,318.58,32523
2022-01-12 14:42:00-05:00,318.57,318.59,318.27,318.38,318.38,42087
2022-01-12 14:43:00-05:00,318.4,318.51,318.37,318.37,318.37,34109
2022-01-12 14:44:00-05:00,318.36,318.41,318.15,318.18,318.18,46069
2022-01-12 14:45:00-05:00,318.21,318.33,318.18,318.18,318.18,33202
2022-01-12 14:46:00-05:00,318.19,318.29,318.06,318.16,318.16,54291
2022-01-12 14:47:00-05:00,318.18,318.23,318.09,318.2,318.2,55915
2022-01-12 14:48:00-05:00,318.19,318.41,318.14,318.36,318.36,83726
2022-01-12 14:49:00-05:00,318.37,318.37,318.22,318.26,318.26,35762
2022-01-12 14:50:00-05:00,318.27,318.51,318.22,318.45,318.45,79008
2022-01-12 14:51:00-05:00,318.45,318.54,318.35,318.43,318.43,53093
2022-01-12 14:52:00-05:00,318.41,318.41,318.27,318.33,318.33,36397
2022-01-12 14:53:00-05:00,318.35,318.39,318.24,318.27,318.27,22080
2022-01-12 14:54:00-05:00,318.28,318.28,318.11,318.2,318.2,43874
2022-01-12 14:55:00-05:00,318.21,318.34,318.13,318.23,318.23,44704
2022-01-12 14:56:00-05:00,318.25,318.35,318.25,318.32,318.32,24452
2022-01-12 14:57:00-05:00,318.35,318.4,318.28,318.33,318.33,28639
2022-01-12 14:58:00-05:00,318.33,318.38,318.29,318.33,318.33,17175
2022-01-12 14:59:00-05:00,318.33,318.33,318.12,318.12,318.12,35584
2022-01-12 15:00:00-05:00,318.12,318.33,317.7,317.9,317.9,94972
2022-01-12 15:01:00-05:00,317.88,317.89,317.46,317.88,317.88,110334
2022-01-12 15:02:00-05:00,317.9,318.02,317.76,317.86,317.86,64554
2022-01-12 15:03:00-05:00,317.84,317.86,317.26,317.44,317.44,74028
2022-01-12 15:04:00-05:00,317.46,317.7,317.44,317.5,317.5,62443
2022-01-12 15:05:00-05:00,317.52,317.55,317.08,317.14,317.14,67142
2022-01-12 15:06:00-05:00,317.14,317.61,317.11,317.47,317.47,58152
2022-01-12 15:07:00-05:00,317.47,317.69,317.39,317.65,317.65,45657
2022-01-12 15:08:00-05:00,317.69,317.74,317.53,317.55,317.55,46625
2022-01-12 15:09:00-05:00,317.57,317.57,317.25,317.27,317.27,52439
2022-01-12 15:10:00-05:00,317.29,317.64,317.24,317.56,317.56,48145
2022-01-12 15:11:00-05:00,317.57,317.61,317.39,317.52,317.52,47843
2022-01-12 15:12:00-05:00,317.5,317.51,317.33,317.42,317.42,42976
2022-01-12 15:13:00-05:00,317.43,317.66,317.42,317.62,317.62,32758
2022-01-12 15:14:00-05:00,317.62,317.85,317.58,317.85,317.85,49301
2022-01-12 15:15:00-05:00,317.9,317.99,317.75,317.87,317.87,45325
2022-01-12 15:16:00-05:00,317.86,317.86,317.62,317.69,317.69,42210
2022-01-12 15:17:00-05:00,317.67,317.8,317.52,317.58,317.58,29871
2022-01-12 15:18:00-05:00,317.62,317.75,317.61,317.69,317.69,35166
2022-01-12 15:19:00-05:00,317.69,317.7,317.58,317.62,317.62,39851
2022-01-12 15:20:00-05:00,317.63,317.97,317.57,317.89,317.89,47314
2022-01-12 15:21:00-05:00,317.89,317.9,317.74,317.79,317.79,25877
2022-01-12 15:22:00-05:00,317.77,317.85,317.64,317.71,317.71,27292
2022-01-12 15:23:00-05:00,317.71,317.85,317.7,317.75,317.75,33281
2022-01-12 15:24:00-05:00,317.75,317.8,317.63,317.67,317.67,31337
2022-01-12 15:25:00-05:00,317.67,317.69,317.15,317.42,317.42,79357
2022-01-12 15:26:00-05:00,317.42,317.63,317.42,317.56,317.56,39324
2022-01-12 15:27:00-05:00,317.58,317.7,317.49,317.68,317.68,21548
2022-01-12 15:28:00-05:00,317.68,317.71,317.48,317.61,317.61,31423
2022-01-12 15:29:00-05:00,317.64,317.77,317.54,317.72,317.72,28267
2022-01-12 15:30:00-05:00,317.7,317.83,317.67,317.77,317.77,38057
2022-01-12 15:31:00-05:00,317.78,317.95,317.72,317.88,317.88,50176
2022-01-12 15:32:00-05:00,317.87,317.91,317.82,317.86,317.86,28113
2022-01-12 15:33:00-05:00,317.85,317.99,317.62,317.68,317.68,67983
2022-01-12 15:34:00-05:00,317.7,317.8,317.61,317.68,317.68,38062
2022-01-12 15:35:00-05:00,317.69,317.91,317.57,317.88,317.88,65061
2022-01-12 15:36:00-05:00,317.84,317.86,317.64,317.66,317.66,58760
2022-01-12 15:37:00-05:00,317.65,317.7,317.45,317.47,317.47,73235
2022-01-12 15:38:00-05:00,317.49,317.52,317.34,317.37,317.37,46432
2022-01-12 15:39:00-05:00,317.36,317.56,317.35,317.43,317.43,51829
2022-01-12 15:40:00-05:00,317.44,317.54,317.38,317.48,317.48,80010
2022-01-12 15:41:00-05:00,317.48,317.74,317.4,317.71,317.71,71366
2022-01-12 15:42:00-05:00,317.69,317.82,317.64,317.71,317.71,85674
2022-01-12 15:43:00-05:00,317.7,317.86,317.7,317.77,317.77,65439
2022-01-12 15:44:00-05:00,317.76,318.28,317.71,318.28,318.28,88844
2022-01-12 15:45:00-05:00,318.3,318.8,318.18,318.67,318.67,155611
2022-01-12 15:46:00-05:00,318.66,318.7,318.4,318.41,318.41,112370
2022-01-12 15:47:00-05:00,318.4,318.6,318.22,318.49,318.49,56116
2022-01-12 15:48:00-05:00,318.44,318.55,318.24,318.5,318.5,69427
2022-01-12 15:49:00-05:00,318.51,318.58,318.33,318.5,318.5,63814
2022-01-12 15:50:00-05:00,318.49,318.68,318.14,318.62,318.62,141816
2022-01-12 15:51:00-05:00,318.53,318.64,318.37,318.5,318.5,106741
2022-01-12 15:52:00-05:00,318.48,318.48,318.05,318.18,318.18,139882
2022-01-12 15:53:00-05:00,318.22,318.41,318.19,318.38,318.38,76296
2022-01-12 15:54:00-05:00,318.39,318.49,317.97,318.43,318.43,162978
2022-01-12 15:55:00-05:00,318.4,318.44,318.08,318.16,318.16,120065
2022-01-12 15:56:00-05:00,318.15,318.17,317.98,318.06,318.06,120125
2022-01-12 15:57:00-05:00,318.04,318.1,317.82,318.01,318.01,132090
2022-01-12 15:58:00-05:00,317.99,318.06,317.8,317.95,317.95,167653
2022-01-12 15:59:00-05:00,317.94,318.32,317.67,318.29,318.29,543922
2022-01-13 09:30:00-05:00,320.47,320.88,319.15,319.6,319.6,805878
2022-01-13 09:31:00-05:00,319.56,319.85,319.3,319.49,319.49,103940
2022-01-13 09:32:00-05:00,319.49,320.02,319.46,319.96,319.96,95667
2022-01-13 09:33:00-05:00,320.0,320.31,319.71,319.98,319.98,101356
2022-01-13 09:34:00-05:00,319.43,319.8,319.43,319.71,319.71,85174
2022-01-13 09:35:00-05:00,319.5,319.85,319.43,319.5,319.5,89722
2022-01-13 09:36:00-05:00,319.0,319.1,318.81,319.05,319.05,123159
2022-01-13 09:37:00-05:00,319.5,319.55,319.36,319.55,319.55,90383
2022-01-13 09:38:00-05:00,319.75,319.96,319.48,319.49,319.49,80269
2022-01-13 09:39:00-05:00,320.0,320.02,319.54,319.63,319.63,93997
2022-01-13 09:40:00-05:00,319.25,319.55,319.23,319.26,319.26,129234
2022-01-13 09:41:00-05:00,319.25,319.27,319.03,319.18,319.18,80449
2022-01-13 09:42:00-05:00,319.18,319.21,318.6,318.64,318.64,96897
2022-01-13 09:43:00-05:00,318.5,318.69,318.42,318.69,318.69,83999
2022-01-13 09:44:00-05:00,318.68,319.26,318.56,319.1,319.1,95021
2022-01-13 09:45:00-05:00,319.0,319.0,318.81,318.82,318.82,69694
2022-01-13 09:46:00-05:00,319.0,319.1,319.0,319.1,319.1,50935
2022-01-13 09:47:00-05:00,319.37,319.37,319.24,319.24,319.24,59822
2022-01-13 09:48:00-05:00,319.25,319.25,319.18,319.18,319.18,108132
2022-01-13 09:49:00-05:00,319.18,319.41,319.18,319.4,319.4,34545
2022-01-13 09:50:00-05:00,319.05,319.28,319.05,319.13,319.13,76342
2022-01-13 09:51:00-05:00,319.0,319.02,318.92,318.94,318.94,45853
2022-01-13 09:52:00-05:00,319.0,319.05,318.88,318.88,318.88,36996
2022-01-13 09:53:00-05:00,318.25,318.32,318.22,318.31,318.31,105478
